species,temp_opt_min,Temp_Opt_Max,Rain_Opt_Min,Rain_Opt_Max,Lat_Opt_Min,Lat_Opt_Max,Alt_Opt_Min,Alt_Opt_Max,pH_Opt_Min,pH_Opt_Max,Light_Opt_Min,Light_Opt_Max,Texture_Ops
Duboisia myoporoides,20,30,1000,2000,-,-,---,---,5,6.5,very bright,clear skies,heavy
Dysoxylum fraseranum,20,28,1200,1500,28,28,---,---,5,7,very bright,very bright,"heavy, medium"
Echinochloa frumentacea,25,30,500,750,-,-,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Echinochloa polystachya,22,28,1900,4000,-,-,---,---,5,7,clear skies,very bright,heavy
Echinochloa pyramidalis,22,28,1500,2100,-,-,---,---,6,7,very bright,clear skies,heavy
Echinochloa turneriana,22,30,300,375,17,17,---,---,7,8,very bright,very bright,heavy
Echinochloa utilis,15,25,500,1000,-,-,---,---,6,7,very bright,very bright,medium
Ehrharta calycina,12,16,350,450,25,25,---,---,6.5,7,very bright,very bright,light
Eichhornia crassipes,20,35,1000,3000,-,-,---,---,6.7,7.3,very bright,very bright,heavy
Elaeagnus angustifolia,20,32,350,500,30,20,---,---,6.5,7.5,very bright,very bright,"medium, light"
Elaeis oleifera,20,30,1400,2500,-,-,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Eleusine africana,18,27,600,1100,-,-,---,---,6,6.5,very bright,clear skies,light
Eleusine coracana ssp. coracana,18,30,500,1100,-,-,---,---,6,7,very bright,very bright,medium
Elymus canadensis,10,22,500,1000,40,40,---,---,5.5,6.5,very bright,clear skies,light
Elymus cinereus,10,18,400,600,25,25,---,---,6,7,very bright,clear skies,light
Elymus condensatus,18,22,500,800,-,-,---,---,6,7,very bright,clear skies,"medium, light"
Elymus glaucus,9,15,500,700,-,-,---,---,6,7,very bright,cloudy skies,"medium, light"
Endiandra palmerstonii,22,28,1500,3000,16.5,16.5,---,---,5,6,very bright,clear skies,medium
Ensete ventricosum,16,24,1100,1500,5,-,---,---,5.6,7.3,very bright,very bright,"medium, organic"
Entada abyssinica,20,28,800,1500,-,-,---,---,5,7,cloudy skies,very bright,medium
Enterolobium cyclocarpum,23,28,750,2500,-,-,---,---,4.5,8,very bright,very bright,medium
Entolasia imbricata,20,28,800,1200,-,-,---,---,5.5,6.5,very bright,very bright,light
Eragrostis chloromelas,17,25,500,750,-,-,---,---,6,7,very bright,very bright,medium
Eragrostis cilianensis,22,30,600,700,-,-,---,---,6.5,7.5,very bright,very bright,medium
Eragrostis curvula,17,32,500,1000,-,-,---,---,6.5,8.5,very bright,clear skies,"medium, light"
Eragrostis lehmanniana,17,25,300,500,20,15,---,---,7,8.5,very bright,clear skies,"medium, light"
Eragrostis pilosa,18,30,500,1300,-,-,---,---,4.5,5.5,very bright,clear skies,"heavy, medium, light"
Eragrostis superba,22,28,500,900,-,-,---,---,6.5,7.5,very bright,cloudy skies,light
Eragrostis tef,22,28,600,1200,5,-,---,---,5.5,6.5,very bright,very bright,"medium, light"
Eragrostis tremula,22,28,300,600,-,-,---,---,6.5,7.5,very bright,very bright,light
Eragrostis trichodes,16,24,600,1000,20,20,---,---,6,6.5,light shade,very bright,"medium, light"
Eremochloa ophiuroides,20,32,800,1200,-,-,---,---,5,6,cloudy skies,light shade,medium
Eriochloa punctata,22,28,1500,2000,-,-,---,---,5.5,6.5,very bright,clear skies,medium
Eruca sativa,15,25,500,900,-,-,---,---,7,8,very bright,clear skies,"medium, light"
Erythrina abyssinica,16,26,800,2000,-,-,---,---,4,5.5,very bright,very bright,"medium, light"
Erythrina edulis,15,22,600,1500,-,-,---,---,5.5,7,clear skies,very bright,"heavy, medium, light, wide"
Erythrina poeppigiana,22,28,1000,4000,-,-,---,---,5,7,clear skies,very bright,medium
Erythrina vespertilio,20,35,500,1300,10,10,---,---,5.5,7,very bright,very bright,"heavy, medium, light"
Erythrophleum chlorostahys,22,28,1000,1400,11,11,---,---,5.5,6.5,very bright,clear skies,"heavy, medium, light"
Eucalyptus accedens,18,28,600,800,22,22,---,---,5.5,7,very bright,very bright,medium
Eucalyptus agglomerata,18,28,800,1000,32,32,---,---,5.5,6.5,very bright,clear skies,medium
Eucalyptus albens,18,30,600,1100,26,26,---,---,5.5,6.5,very bright,clear skies,medium
Eucalyptus astringens,18,28,450,650,31.7,31.7,---,---,5.5,7,very bright,very bright,medium
Eucalyptus bosistoana,17,26,800,1100,33,33,---,---,5.5,7,very bright,clear skies,medium
Eucalyptus botryoides,22,29,700,1300,32,32,---,---,5.5,6.5,very bright,very bright,medium
Eucalyptus brassiana,22,33,1500,2500,5,-,---,---,5,6.5,very bright,clear skies,"heavy, medium, light"
Eucalyptus brevifolia,24,38,450,700,15,15,---,---,5,6,very bright,clear skies,"medium, light"
Eucalyptus brockwayi,25,34,250,300,31,31,---,---,7,7.5,very bright,very bright,"medium, light"
Eucalyptus calophylla,18,26,900,1200,29,29,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Eucalyptus citriodora,22,32,800,1500,-,-,---,---,5.5,6.5,very bright,very bright,"medium, light"
Eucalyptus cladocalyx,23,32,450,650,32.5,32.5,---,---,6,6.5,very bright,very bright,"medium, light"
Eucalyptus cloeziana,22,32,800,2000,15.7,15.7,---,---,5,6.5,very bright,cloudy skies,"medium, light"
Eucalyptus consideniana,15,27,900,1200,33,33,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Eucalyptus cornuta,17,27,800,1100,33.5,33.5,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Eucalyptus crebra,26,36,600,2000,13.5,13.5,---,---,5.5,6.5,very bright,very bright,"medium, light"
Eucalyptus dalrympleana,17,28,800,1900,33,33,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Eucalyptus delegatensis,17,25,900,2500,35,35,---,---,5.5,6.5,very bright,very bright,medium
Eucalyptus diversicolor,18,28,1000,1200,34,34,---,---,5,6,very bright,very bright,"medium, light"
Eucalyptus dumosa,18,28,300,450,30.5,30.5,---,---,6.5,8,very bright,very bright,"medium, light"
Eucalyptus elata,15,28,900,1400,33,33,---,---,5.5,6.5,very bright,clear skies,medium
Eucalyptus eugenioides,18,28,800,1000,22,22,---,---,5.5,6.5,very bright,clear skies,medium
Eucalyptus exserta,20,30,700,1200,17,17,---,---,6,7,very bright,clear skies,medium
Eucalyptus fastigata,16,28,900,1800,30,30,---,---,5,6.5,very bright,very bright,medium
Eucalyptus fraxinoides,15,28,900,1000,35,35,---,---,5,6.5,very bright,clear skies,
Eucalyptus globulus var. bicostata,25,32,800,1200,31,31,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Eucalyptus globulus ssp. globulus,14,23,700,1500,38.5,-,---,---,5.5,6.5,very bright,very bright,medium
Eucalyptus globulus ssp. maidenii,22,30,900,1500,35,35,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Eucalyptus globulus var. pseudoglobulus,24,27,800,1000,37,37,---,---,5.5,6.5,very bright,very bright,medium
Eucalyptus gomphocephala,24,32,700,1000,31,31,---,---,6.5,7.5,very bright,very bright,"medium, light"
Eucalyptus gongylocarpa,20,38,150,250,24,24,---,---,5,6,very bright,very bright,light
Eucalyptus guilfoylei,18,26,1100,1300,34,34,---,---,5.5,6.5,very bright,clear skies,medium
Eucalyptus gummifera,18,32,1000,1500,25,25,---,---,5.5,6.5,very bright,clear skies,medium
Eucalyptus intermedia,18,28,1000,2000,11,11,---,---,5,6,very bright,clear skies,medium
Eucalyptus intertexta,28,38,300,600,21,21,---,---,6,7,very bright,very bright,light
Eucalyptus jacksonii,15,25,1150,1250,34.5,34.5,---,---,5.5,6.5,very bright,clear skies,medium
Eucalyptus jensenii,22,34,550,1300,11,11,---,---,5,6.5,very bright,clear skies,light
Eucalyptus johnstonii,12,18,1300,1400,42.5,42.5,---,---,5.5,6.5,very bright,clear skies,light
Eucalyptus largiflorens,27,36,250,380,25.7,25.7,---,---,7,7.5,very bright,very bright,medium
Eucalyptus leucoxylon,18,30,400,800,32,32,---,---,6,7,very bright,clear skies,"heavy, medium, light"
Eucalyptus longifolia,18,26,900,1200,33,33,---,---,5.5,6.5,very bright,clear skies,heavy
Eucalyptus loxophleba,20,32,350,650,25.5,25.5,---,---,6,7,very bright,very bright,medium
Eucalyptus maculata,23,32,800,1750,25,25,---,---,5.5,6,very bright,very bright,medium
Eucalyptus marginata,17,27,800,1100,30,30,---,---,5.5,6.5,very bright,clear skies,medium
Eucalyptus melliodora,24,33,650,900,24,24,---,---,6,7,very bright,very bright,"medium, light"
Eucalyptus microcarpa,18,30,500,600,24,24,---,---,6,7,very bright,very bright,"heavy, medium"
Eucalyptus microcorys,24,34,1000,2000,25,25,---,---,5.5,7,very bright,cloudy skies,medium
Eucalyptus microtheca,24,39,250,1000,14,14,---,---,6.5,8,very bright,very bright,heavy
Eucalyptus moluccana,18,28,800,1100,17.2,17.2,---,---,5.5,6.5,very bright,clear skies,heavy
Eucalyptus muelleriana,15,25,800,1100,34.5,34.5,---,---,5.5,6.5,very bright,clear skies,medium
Eucalyptus nesophila,22,32,1200,1500,11,11,---,---,5,6.5,very bright,clear skies,medium
Eucalyptus nigra,20,28,1300,1700,16,16,---,---,5,6,very bright,very bright,medium
Eucalyptus nitens,14,26,900,1750,30,10,---,---,6,6.5,very bright,very bright,"heavy, medium"
Eucalyptus obliqua,18,30,700,2400,28,10,---,---,6,6.5,very bright,very bright,medium
Eucalyptus occidentalis,26,36,400,800,30,30,---,---,6.5,7.5,very bright,very bright,heavy
Eucalyptus ochrophloia,20,37,250,600,26,26,---,---,7,8,very bright,very bright,heavy
Eucalyptus odontocarpa,22,38,250,500,18,18,---,---,5,6,very bright,very bright,light
Eucalyptus oreades,17,25,1000,1500,28,28,---,---,5.5,6.5,very bright,very bright,medium
Eucalyptus oxymitra,20,33,150,200,22,22,---,---,7,8,very bright,very bright,light
Eucalyptus paniculata,23,31,900,1500,30,28,---,---,6,6.5,very bright,very bright,medium
Eucalyptus patens,18,28,900,1200,32,32,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Eucalyptus pauciflora,15,27,1000,1600,28,28,---,---,5.5,6.5,very bright,very bright,"medium, light"
Eucalyptus pellita,24,34,1100,2500,12,-,---,---,6,7,very bright,cloudy skies,"medium, light"
Eucalyptus phoenicea,22,35,900,1300,12,12,---,---,5.5,6.5,very bright,very bright,light
Eucalyptus pilularis,18,28,1000,1500,25.5,25.5,---,---,5.5,6.5,very bright,very bright,medium
Eucalyptus planchoniana,18,28,1100,1500,27,27,---,---,5,6.5,very bright,very bright,"heavy, medium, light"
Eucalyptus polyanthemos,16,28,600,700,32.5,32.5,---,---,6,7,very bright,clear skies,"heavy, medium, light"
Eucalyptus polycarpa,20,29,500,1500,10.5,10.5,---,---,5.5,6.5,very bright,very bright,"heavy, medium, light"
Eucalyptus populnea,20,34,500,800,20,20,---,---,6,7,very bright,very bright,medium
Eucalyptus propinqua,16,33,1000,1700,24,24,---,---,6,7,very bright,very bright,"heavy, medium"
Eucalyptus pulchella,15,22,600,700,42,42,---,---,5.5,6.5,very bright,clear skies,light
Eucalyptus punctata,18,28,900,1100,24,24,---,---,5.5,6.5,very bright,clear skies,medium
Eucalyptus quadrangulata,17,27,1100,1500,28,28,---,---,5.5,6.5,very bright,clear skies,"heavy, medium"
Eucalyptus radiata ssp. radiata,15,28,800,1000,28,28,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Eucalyptus radiata ssp. robusta,15,25,1000,1200,33,33,---,---,5.5,6.5,very bright,clear skies,"heavy, medium"
Eucalyptus regnans,12,25,1000,1700,37,10,---,---,6,7,very bright,very bright,medium
Eucalyptus resinifera,16,34,1000,2500,14,14,---,---,6,6.5,very bright,clear skies,"medium, light"
Eucalyptus rudis,20,32,600,800,28,28,---,---,6,7,very bright,very bright,"heavy, medium"
Eucalyptus salmonophloia,28,36,300,500,29,29,---,---,6.5,7.5,very bright,very bright,medium
Eucalyptus salubris,20,34,250,350,28.5,28.5,---,---,6,7,very bright,very bright,medium
Eucalyptus sargentii,29,36,400,480,31,31,---,---,7,8,very bright,very bright,medium
Eucalyptus sideroxylon,25,34,500,1000,25,25,---,---,6.5,7.5,very bright,very bright,"heavy, medium, light"
Eucalyptus sieberi,22,27,900,1400,33,33,---,---,6,6.5,very bright,very bright,light
Eucalyptus smithii,20,28,900,1500,34,34,---,---,5.5,7,clear skies,very bright,medium
Eucalyptus socialis,18,36,150,450,22,22,---,---,7,7.5,very bright,very bright,light
Eucalyptus st.-johnii,16,27,1000,1700,31,31,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Eucalyptus subcrenulata,10,15,1500,2000,41.5,41.5,---,---,5,6.5,very bright,clear skies,"light, organic"
Eucalyptus tessellaris,20,34,1000,3000,10.7,10.7,---,---,5,7,very bright,clear skies,"medium, light"
Eucalyptus tetrodonta,22,30,900,1300,11,11,---,---,5.5,6.5,very bright,very bright,light
Eucalyptus thozetiana,22,35,350,650,20,20,---,---,6,7,very bright,very bright,"medium, light"
Eucalyptus torelliana,27,38,1200,2000,16,16,---,---,6,7,very bright,clear skies,"medium, light"
Eucalyptus transcontientalis,20,30,300,450,29,29,---,---,6,7,very bright,very bright,medium
Eucalyptus trivalvis,22,38,150,250,22,22,---,---,7,8,very bright,very bright,"medium, light"
Eucalyptus umbra ssp. carnea,18,26,900,1500,22.5,22.5,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Eucalyptus umbra ssp. umbra,18,28,900,1200,16,16,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Eucalyptus urophylla,18,28,1300,2500,7,7,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Eucalyptus viminalis,18,32,700,1500,28,28,---,---,6,7,very bright,very bright,medium
Eucalyptus wandoo,18,30,500,600,30,30,---,---,5.5,7,very bright,very bright,"medium, light"
Eucryphia lucida,12,22,1300,1700,41,41,---,---,5,6,very bright,clear skies,"heavy, medium, light, organic"
Eugenia dombeyi,21,32,1200,2500,-,-,---,---,5.5,6.5,clear skies,very bright,medium
Eugenia gustavioides,28,32,1400,3800,15.5,15.5,---,---,5.5,7,very bright,clear skies,medium
Eugenia stipitata,2000,3500,22,30,-,-,---,---,5,6,cloudy skies,very bright,"medium, light"
Eugenia suborbiculare,24,38,900,1600,10,10,---,---,5,6,very bright,clear skies,light
Eugenia uniflora,21,27,1200,2000,-,-,---,---,6,7.5,very bright,cloudy skies,"medium, light"
Eugenia uvalha,20,26,450,600,10,10,---,---,6,7,very bright,very bright,light
Euphorbia tirucalli,25,37,400,800,-,-,---,---,5.5,6.5,very bright,very bright,light
Euterpe chaunostachys,23,30,3000,6000,-,-,---,---,5,6,very bright,clear skies,"heavy, organic"
Euterpe edulis,18,23,1500,2500,-,-,---,---,4.5,5,very bright,clear skies,"heavy, medium, light"
Euterpe oleracea,22,28,1800,2300,-,-,---,---,5,5.5,very bright,clear skies,"heavy, medium, light"
Exotheca abyssinica,17,25,750,1250,-,-,---,---,5,6,very bright,very bright,"medium, light"
Fagopyrum emarginatum,15,28,700,900,30,30,---,---,5,6.5,very bright,clear skies,"medium, light"
Fagopyrum tataricum,15,25,700,900,-,-,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Fagraea fragrans,20,30,2000,3000,-,-,---,---,5,6,very bright,very bright,"heavy, medium, light"
Fagus grandifolia,13,22,750,1100,32,30,---,---,4.5,6,very bright,very bright,"heavy, medium"
Fagus sylvatica ssp. sylvatica,10,20,500,1000,45,38,---,---,5,7,very bright,very bright,"heavy, medium"
Faidherbia albida,18,30,400,1000,10,-,---,---,5.5,7,very bright,very bright,light
Festuca arundinacea,15,22,600,1300,44,42,---,---,5.5,8,very bright,clear skies,"heavy, medium"
Festuca idahoensis,10,18,500,800,30,30,---,---,6,7,very bright,clear skies,"heavy, medium, light"
Festuca longifolia,14,24,500,900,-,-,---,---,6,7,clear skies,very bright,light
Festuca pratensis,11,19,800,1200,-,-,---,---,6,7.5,very bright,cloudy skies,"heavy, medium"
Festuca rubra var. commutata,10,18,500,900,-,-,---,---,5.5,6.5,very bright,light shade,"heavy, medium, light"
Festuca rubra var. rubra,12,18,500,1000,-,-,---,---,5.5,6.5,very bright,cloudy skies,"heavy, medium, light"
Fibraurea tinctoria,22,32,700,1000,-,-,---,---,6.5,8,very bright,cloudy skies,"heavy, medium, light"
Ficus abutilifolia,18,25,400,2500,6,5,---,---,6,6.5,clear skies,very bright,light
Ficus auriculata,15,25,1200,1900,12,10,---,---,5.5,6.5,cloudy skies,very bright,"medium, organic"
Ficus benghalensis,26,36,1000,2500,10,10,---,---,5.5,7,very bright,very bright,"medium, light"
Ficus glumosa,22,36,500,1200,-,-,---,---,5.5,7,very bright,very bright,"heavy, medium, light, wide, organic"
Ficus macrophylla,18,28,1200,1500,27,27,---,---,5,6,very bright,clear skies,"heavy, medium"
Ficus subcordata,22,30,1200,1800,-,-,---,---,7,7.5,very bright,clear skies,"heavy, medium, light"
Ficus sycomorus,18,36,700,1800,-,-,---,---,5.5,7,very bright,very bright,"heavy, medium, organic"
Ficus vogelii,22,30,1800,2400,-,-,---,---,4.5,5,very bright,clear skies,"heavy, medium, light"
Flindersia bourjotiana,20,30,1500,3500,15.4,15.4,---,---,5,6,very bright,clear skies,medium
Flindersia brayleyana,20,30,1500,3500,16.2,16.2,---,---,5,6,very bright,clear skies,medium
Flindersia pimenteliana,20,30,1500,3500,15.4,15.4,---,---,5,6,very bright,clear skies,medium
Fortunella hindsii,26,37,1100,1500,10,10,---,---,6.5,7.5,very bright,clear skies,medium
Fragaria chiloensis,11,18,900,1300,20,20,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Fragaria virginiana,11,18,800,1200,32,30,---,---,5.5,7,very bright,clear skies,medium
Frangula alnus,18,24,700,900,10,-,---,---,5,6,light shade,cloudy skies,medium
Fraxinus excelsior,8,20,500,1000,42,39,---,---,6.5,8,clear skies,very bright,
Furcraea gigantea var. willemettiana,23,30,1000,2100,-,-,---,---,6,7,cloudy skies,light shade,light
Garcinia multiflora,21,28,1500,1800,10,10,---,---,7,7.5,clear skies,cloudy skies,"heavy, medium"
Garuga pinnata,30,42,1500,2000,5,5,---,---,6,7,very bright,very bright,"heavy, medium"
Geissois benthamiana,18,28,1200,1500,28,28,---,---,5,6,very bright,clear skies,"heavy, medium, light"
Genipa americana,24,31,1200,1700,-,-,---,---,5.5,7,very bright,very bright,medium
Genista tinctoria,14,20,600,900,38,36,---,---,5.5,6.5,very bright,cloudy skies,light
Gleditsia triacanthos,26,38,700,1500,28,10,---,---,5.5,8,very bright,very bright,"heavy, medium, light"
Gluta travancorica,26,29,3000,4000,5,5,---,---,4.5,6,very bright,cloudy skies,"heavy, medium, light"
Glyceria fluitans,14,26,600,900,37,34,---,---,4.5,8,clear skies,very bright,"medium, light"
Glycyrrhiza glabra,14,25,500,1000,-,-,---,---,6.5,7.5,very bright,very bright,"heavy, medium"
Glycyrrhiza lepidota,10,17,450,500,20,20,---,---,6,7.5,very bright,very bright,"medium, light"
Gmelina leichhardtii,26,30,1200,1800,19.5,19.5,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Gossypium arboreum,26,36,750,1250,10,10,---,---,6,7.2,very bright,very bright,"heavy, medium, light"
Gossypium herbaceum,26,36,750,1250,-,-,---,---,6,7.2,very bright,very bright,"heavy, medium, light"
Gracilaria tenuistipitata,20,30,2000,3000,-,-,---,---,6.5,7.5,very bright,very bright,"heavy, medium, light"
Gracilaria verrucosa,20,25,2000,3000,15,15,---,---,7.5,8,very bright,very bright,"heavy, medium"
Grevillea parallella,22,35,700,1400,10,10,---,---,5,6.5,very bright,very bright,"medium, light"
Grewia asiatica,23,34,2300,2900,10,5,---,---,6,7.5,very bright,clear skies,"heavy, medium, light"
Grewia bicolor,20,28,400,900,-,-,---,---,5.5,7,clear skies,very bright,"light, organic"
Grewia tiliifolia,30,42,1000,2500,5,5,---,---,6,6.5,very bright,cloudy skies,medium
Guaiacum officinale,22,28,1000,2000,10,10,---,---,5,7.5,clear skies,very bright,"medium, light"
Guaiacum sanctum,22,28,700,1500,10,500,---,---,5,7.5,clear skies,very bright,"heavy, medium, light, wide, organic"
Guazuma ulmifolia,22,32,700,1500,-,-,---,---,6,7,very bright,very bright,"heavy, medium, light"
Guizotia abyssinica,18,26,1000,1300,-,-,---,---,5.5,6.5,very bright,very bright,medium
Gunnera tinctoria,15,25,800,2000,20,-,---,---,5.5,7,clear skies,cloudy skies,"medium, organic"
Gynandropsis gynandra,18,25,-,-,-,-,---,---,5.5,7,clear skies,very bright,"medium, light, organic"
Hagenia abyssinica,25,32,1000,1600,-,-,---,---,6,7.5,very bright,very bright,medium
Haloxylon aphyllum,25,40,200,300,30,30,---,---,6.5,7.5,very bright,very bright,"medium, light"
Hardwickia binata,16,38,500,1000,5,5,---,---,5.5,7.5,very bright,cloudy skies,"medium, light"
Harungana madagascariensis,20,28,1500,2500,-,-,---,---,5.5,6.5,clear skies,very bright,"medium, light"
Hedysarum carnosum,15,25,200,500,32,30,---,---,6.5,7.5,very bright,clear skies,heavy
Hedysarum coronarium,14,28,600,1000,32,30,---,---,6,7,very bright,clear skies,"heavy, medium"
Hedysarum flexuosum,15,25,400,500,32,30,---,---,6.5,7.5,very bright,clear skies,heavy
Hedysarum pallidum,15,25,400,500,32,30,---,---,6.5,7.5,very bright,clear skies,light
Hedysarum spinosissimum,15,25,200,500,32,30,---,---,6.5,7.5,very bright,clear skies,"heavy, medium, light"
Hemarthria japonica,17,28,500,800,35,35,---,---,7,8,very bright,clear skies,"light, organic"
Hibiscus sabdariffa var. altissima,16,28,1500,2000,-,-,---,---,6,7.5,very bright,very bright,"medium, light"
Hibiscus sabdariffa var. sabdariffa,24,32,1000,3000,-,-,---,---,5.5,7,very bright,very bright,"medium, organic"
Hierochloe odorata,18,26,250,700,35,35,---,---,6,7.5,very bright,clear skies,"medium, light"
Hieronyma chocoensis,24,34,3500,4500,-,-,---,---,4.5,5.5,very bright,clear skies,"heavy, medium"
Hilaria jamesii,12,17,300,400,-,-,---,---,7,7.5,very bright,very bright,"medium, light"
Hilaria mutica,19,26,400,700,-,-,---,---,7,7.5,very bright,very bright,"heavy, medium"
Hippophae rhamnoides,8,20,300,600,30,30,---,---,6.5,7.5,very bright,clear skies,"heavy, medium, light"
Hippophae salicifolia,8,18,300,600,25,25,---,---,6.5,7.5,very bright,clear skies,medium
Hopea odorata,26,36,3000,4000,10,10,---,---,4.8,5.2,clear skies,cloudy skies,"heavy, medium, light"
Hopea parviflora,26,33,2500,3500,-,-,---,---,5,6,very bright,clear skies,medium
Hopea utilis,24,33,2500,3500,-,-,---,---,5,6,very bright,clear skies,medium
Hopea wightiana,27,35,2500,3500,10,10,---,---,5,6,very bright,light shade,medium
Hordeum brevisubulatum,17,28,500,800,35,35,---,---,7,8,very bright,clear skies,"medium, light"
Hordeum bulbosum,13,23,400,600,30,30,---,---,5.5,7,very bright,very bright,"heavy, medium"
Humulus lupulus,15,19,400,700,25,18,---,---,5.5,6.5,very bright,clear skies,medium
Hydnocarpus alpina,30,35,3500,6500,5,5,---,---,4.5,5.5,very bright,cloudy skies,"heavy, medium, light"
Hydnocarpus kurzii,28,34,3500,6500,-,-,---,---,4.5,5,very bright,cloudy skies,"heavy, medium, light"
Hydnocarpus laurifolia,30,37,3500,6000,10,10,---,---,5.5,6.4,very bright,cloudy skies,medium
Hymenachne acutigluma,20,28,1500,2500,-,-,---,---,4,4.8,very bright,very bright,heavy
Hymenaea courbaril,20,30,1500,3000,-,-,---,---,4.8,6.8,clear skies,very bright,light
Hymenodictyon excelsum,22,33,1200,2000,-,-,---,---,5.5,6.5,very bright,very bright,light
Hyoscyamus niger,10,18,-,-,-,-,---,---,-,-,clear skies,very bright,"wide, organic"
Hyparrhenia hirta,20,32,750,1000,-,-,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Hyparrhenia rufa,20,27,600,1400,-,-,---,---,5.5,6.5,very bright,clear skies,heavy
Hyphaene thebaica,26,36,300,600,10,10,---,---,6.5,7.5,very bright,very bright,"medium, light"
Hyssopus officinalis,10,24,600,1000,30,25,---,---,6,7.5,cloudy skies,very bright,"medium, light"
Ilex dipyrena,20,27,1500,2300,-,-,---,---,4.5,5.5,cloudy skies,light shade,medium
Ilex paraguariensis,17,26,1200,2000,23,21,---,---,6.5,7,very bright,clear skies,"medium, organic"
Indigofera arrecta,22,30,1700,2200,-,-,---,---,5,6,very bright,clear skies,"medium, light"
Indigofera tinctoria,22,28,1300,1700,-,-,---,---,6,7,very bright,very bright,medium
Inga feuillei,22,28,1500,2700,-,-,---,---,5,6.5,very bright,clear skies,"heavy, medium"
Inga vera,18,28,1500,3000,-,-,---,---,6,8,clear skies,very bright,medium
Irvingia gabonensis,25,32,1500,3000,-,-,---,---,5,7,clear skies,very bright,"heavy, medium, light, wide, organic"
Ischaemum ciliare,30,35,1250,5000,-,-,---,---,5.5,7,very bright,cloudy skies,heavy
Ischaemum magnum,29,35,2500,3500,-,-,---,---,4.5,5.5,very bright,light shade,"heavy, medium, light"
Iseilema laxum,24,34,500,1400,15,15,---,---,6,7.5,very bright,very bright,"heavy, medium"
Iseilema membranaceum,30,40,400,500,18,18,---,---,7,8,very bright,very bright,heavy
Ixophorus unisetus,20,24,1200,1600,-,-,---,---,5.5,6.5,very bright,cloudy skies,"medium, organic"
Jacaranda copaia,24,38,1000,1600,-,-,---,---,6.5,6.7,very bright,clear skies,"heavy, medium, light"
Jacaranda mimosifolia,20,34,800,1400,-,-,---,---,6.5,7.5,very bright,clear skies,"medium, light"
Jessenia bataua,21,28,2000,4000,-,-,---,---,4.8,5.5,very bright,clear skies,"heavy, medium"
Juglans hindsii,14,14,600,900,25,25,---,---,6.5,7.5,very bright,very bright,medium
Juglans nigra,13,28,800,1000,18,18,---,---,6.5,7.5,very bright,very bright,medium
Juglans sieboldiana,15,28,800,1000,-,-,---,---,6.5,7,very bright,very bright,medium
Juniperus procera,18,30,600,1000,-,-,---,---,6.5,7.5,very bright,very bright,medium
Justicia adhatoda,20,27,700,1700,25,25,---,---,6.5,7.5,very bright,clear skies,medium
Kerstingiella geocarpa,18,34,600,1200,8,8,---,---,7,7.5,very bright,very bright,medium
Khaya senegalensis,29,38,800,1300,8,8,---,---,5,6,very bright,clear skies,"heavy, medium"
Koeleria cristata,8,15,400,900,28,25,---,---,7,8,very bright,clear skies,"medium, light"
Lactuca indica,22,34,1500,2500,-,-,---,---,5,6,very bright,clear skies,"medium, organic"
Lagerstroemia lanceolata,18,35,2000,4000,10,10,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Lagerstroemia parviflora,20,35,1500,3500,20,20,---,---,5.5,6.5,very bright,very bright,medium
Lagerstroemia tomentosa,26,36,2000,3000,-,-,---,---,5,6.5,very bright,clear skies,medium
Laguncularia racemosa,20,30,1500,2500,-,-,---,---,5.5,7,very bright,clear skies,heavy
Lamium album,12,20,500,800,-,-,---,---,-,-,cloudy skies,clear skies,medium
Lannea coromandelica,32,40,1200,2000,15,15,---,---,5,6.5,very bright,very bright,"medium, light"
Larix decidua,8,22,450,1100,40,40,---,---,4.5,7.5,clear skies,very bright,medium
Lasiurus hirsutus,23,30,200,350,25,25,---,---,7.5,8.5,very bright,cloudy skies,light
Lathyrus cicera,10,18,400,600,30,30,---,---,6.5,7.5,very bright,very bright,heavy
Lathyrus hirsutus,17,25,600,1000,-,-,---,---,6,7,very bright,very bright,"medium, light"
Lathyrus ochrus,10,18,400,600,30,30,---,---,5.5,7,very bright,very bright,"heavy, medium, light"
Lathyrus sativus,10,28,500,1300,-,-,---,---,6,7.5,very bright,very bright,"heavy, medium, light"
Lavandula angustifolia,15,24,500,1000,-,-,---,---,6.5,7.5,very bright,very bright,"medium, light"
